,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
1073,What Men Want,2019,R,08 Feb 2019,117 min,"Comedy, Fantasy, Romance",Adam Shankman,"Tina Gordon, Peter Huyck, Alex Gregory","Taraji P. Henson, Kristen Ledlow, Josh Brener","A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.","English, Mandarin",United States,1 win,https://m.media-amazon.com/images/M/MV5BMTYxNjE2NjIwOF5BMl5BanBnXkFtZTgwMjE0MzkxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.4,"28,996",tt7634968,movie,07 May 2019,"$54,611,903",N/A,N/A,True,,
1074,Terry of the Times,1930,PASSED,11 Aug 1930,200 min,"Action, Mystery",Robert F. Hill,Hal Hodes (story),"Reed Howes, Lotus Thompson, Sheldon Lewis, John Oscar","Terry Macy (Reed Howes), the son of a newspaper's founder, is assigned to investigate a mysterious warning signed '30' (newspaper term for 'The End)that has been sent to a local politician....",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,5,tt0021461,movie,N/A,N/A,N/A,N/A,True,,
1075,The Little Accident,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1076,Sons of the Saddle,1930,Passed,03 Aug 1930,76 min,"Musical, Western",Harry Joe Brown,"Bennett Cohen, Leslie Mason","Ken Maynard, Doris Hill, Joseph W. Girard","Jim Brandon, foreman of the Wind River Ranch owned by Martin Stavnow is in love with ""Ronnie"", the owner's daughter. Jim is unaware that Harvey, a young cowhand that Jim protects like a brother,also loves the girl, and the shy Jim...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjNlNzE4ZTAtYTYxNC00ZTU2LWIxOWMtZTUyMGRiN2I1MTdmXkEyXkFqcGdeQXVyNjg2NjExMzY@._V1_SX300.jpg,[],N/A,N/A,15,tt0021407,movie,N/A,N/A,N/A,N/A,True,,
1077,The Storm,2009–,TV-14,26 Jul 2009,240 min,"Action, Drama, Sci-Fi",N/A,N/A,"James Van Der Beek, Teri Polo, Treat Williams","A secret military project has created a device to manipulate the weather, but something goes wrong.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWU5NDdmYjctMTU5Yi00ZWEzLWFmNjItMjMyMjA1MWNjYmQ2XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,726,tt1415244,series,,,,,True,,1
1078,All Quiet on the Western Front,2022,R,28 Oct 2022,148 min,"Action, Drama, War",Edward Berger,"Edward Berger, Lesley Paterson, Ian Stokell","Felix Kammerer, Albrecht Schuch, Aaron Hilmer",A young German soldier's terrifying experiences and distress on the western front during World War I.,"German, French","Germany, United States, United Kingdom",Won 4 Oscars. 50 wins & 81 nominations total,https://m.media-amazon.com/images/M/MV5BMzM4ZDJhYjYtZGY5Ny00NTk0LWI4ZTYtNjczZDFiMGI2ZjEzXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.8,"210,486",tt1016150,movie,28 Oct 2022,N/A,N/A,N/A,True,,
1079,Spurs,1930,N/A,24 Aug 1930,60 min,Western,B. Reeves Eason,B. Reeves Eason,"Hoot Gibson, Helen Wright, Robert Homans","Bob Merril, looking for the killer of Buddy's father, has found the secret entrance to Pecos' hideout. There he captures Indian Joe who confesses that Marsdan was the killer, But while Bob is off riding in the rodeo his witness es...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWUwM2MyZjgtM2NhNi00ZjA5LWJkYTYtNDY5ZDZjMTQxZTMwXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,[],N/A,N/A,18,tt0021414,movie,N/A,N/A,Universal Pictures,N/A,True,,
1080,Outside the Law,2010,R,22 Sep 2010,138 min,"Crime, Drama, War",Rachid Bouchareb,"Rachid Bouchareb, Olivier Lorelle","Jamel Debbouze, Roschdy Zem, Sami Bouajila",A drama about the Algerian struggle for independence from France after WWII.,"French, Arabic, English","France, Algeria, Belgium, Tunisia, Italy",Nominated for 1 Oscar. 2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MTkwOV5BMl5BanBnXkFtZTcwNjU4NzcwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.6,"4,028",tt1229381,movie,02 Aug 2011,"$96,933",N/A,N/A,True,,
1081,A Lady Surrenders,1944,Not Rated,11 Feb 1946,113 min,"Drama, Music, Romance",Leslie Arliss,"Leslie Arliss, Doreen Montgomery, Rodney Ackland","Margaret Lockwood, Stewart Granger, Tom Walls","After concert pianist Lissa Campbell learns that she has a serious heart problem. she vows to enjoy what time she has left. On taking her first holiday she meets Kit Firth, a pilot on leave whose vision has been impaired due to a ...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYTdiM2UzNmYtZWFjNi00ZGIzLWFiN2UtNmIzNmE2NTE1YzAwL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,345,tt0037029,movie,N/A,N/A,N/A,N/A,True,,
1082,The Indians Are Coming,1930,Passed,10 Oct 1930,200 min,"Drama, Western",Henry MacRae,"Buffalo Bill Cody, William Lord Wright","Tim McCoy, Allene Ray, Edmund Cobb","Jack Manning (Tim McCoy) arrives in a midwestern town from Gold Creek in Califonia. He brings a message from Goerge Woods (Francis Ford) to his brother Tom Woods (Francis Ford), in a dual role, and niece Mary (Allene Ray, informin...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWFmYmQ3Y2UtYjQxYi00OGM0LWFkOGItMzI3ODE4OWIyNzY3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,61,tt0020999,movie,N/A,N/A,N/A,N/A,True,,
1083,East Is West,1930,Passed,23 Oct 1930,75 min,"Adventure, Crime, Drama",Monta Bell,"Samuel Shipman, John B. Hymer, Winifred Reeve","Lupe Velez, Lew Ayres, Edward G. Robinson","Ming Toy is on the auction block in China. She is saved by Billy and taken to San Francisco by Lo Sang Kee. To save her from deportation she is sold to Charlie Yong, the Chop Suey King. Billy kidnaps her with plans of marriage.","Chinese, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMWE0OTJjOGUtYTYzZi00MzlkLWEwZmItZWU3MDU0MjIyYzI2XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,58,tt0020850,movie,N/A,N/A,N/A,N/A,True,,
1084,The Concentratin' Kid,1930,Passed,26 Oct 1930,57 min,Western,Arthur Rosson,"Harold Tarshis, Charlie Saxton","Hoot Gibson, Kathryn Crawford, Duke R. Lee",A cowboy who loves a radio singer he's never met makes a bet that he can meet and win her.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjc3YmZjMzQtZmE1Yy00OGExLWExYTktYjExZTE5NjM5YjdhXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0020783,movie,N/A,N/A,N/A,N/A,True,,
1085,The Cat Creeps,1946,Approved,17 May 1946,58 min,"Comedy, Drama, Mystery",Erle C. Kenton,"Edward Dein, Jerry Warner, Gerald Geraghty","Noah Beery Jr., Lois Collier, Paul Kelly",A black cat is suspected of being possessed by the spirit of a elderly murdered woman.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWE3OWVmOGQtYTJkYS00YmVjLTllNTUtYmQ3YjUxMWQ5NDY5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,5.1,217,tt0038401,movie,N/A,N/A,N/A,N/A,True,,
1086,See America Thirst,1930,N/A,23 Nov 1930,75 min,Comedy,William James Craft,"Jerry Horwin, Henry La Cossit, Edward Ludwig","Harry Langdon, Slim Summerville, Bessie Love","Two men, one timid and one aggressive, make out as comical criminals.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzMxZmZhZTAtNzczNS00YmY3LTkwNmQtMDQ5ZWYxYTczNzI5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,17,tt0021354,movie,N/A,N/A,N/A,N/A,True,,
1087,Free Love,1930,N/A,01 Dec 1930,70 min,Comedy,Hobart Henley,"Sidney Howard, Edwin H. Knopf","Conrad Nagel, Genevieve Tobin, Monroe Owsley",A wife's psychiatrist tells her that she is being dominated by her husband. Her solution is to divorce him.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODc4Y2YyNzYtOGE3ZS00ZTQ1LTg0YzMtMzQzZTEwOWVkYmVmXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0020901,movie,N/A,N/A,N/A,N/A,True,,
1088,The Boudoir Diplomat,1930,Passed,05 Dec 1930,68 min,"Comedy, Romance","Malcolm St. Clair, John M. Stahl","Rudolph Lothar, Fritz Gottwald, Tom Reed","Betty Compson, Ian Keith, Mary Duncan",A ladies' man flirts with the wives of other governments' officials.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGYwMTVjMDEtYjZkYy00NGRjLTk2Y2YtMWQ0OWRkMjFiYTlhXkEyXkFqcGdeQXVyMjc3MjgzOTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,15,tt0020704,movie,N/A,N/A,N/A,N/A,True,,
1089,The Cohens and Kellys in Africa,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1090,Resurrection,2013–2015,TV-14,09 Mar 2014,N/A,"Drama, Fantasy",N/A,Aaron Zelman,"Omar Epps, Frances Fisher, Matt Craven","The lives of the people of Arcadia, Missouri are forever changed when their deceased loved ones return.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjE2OTQ2Nzk4N15BMl5BanBnXkFtZTgwMTU0MTE5MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"15,482",tt2647586,series,,,,,True,,2
1091,Dracula,1931,Passed,14 Feb 1931,75 min,"Drama, Fantasy, Horror","Tod Browning, Karl Freund","Bram Stoker, Hamilton Deane, John L. Balderston","Bela Lugosi, Helen Chandler, David Manners","Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night.","English, Hungarian, Latin",United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjhkMzEzN2ItM2EwYy00ZjE4LTg5MDItMzk5YWQ3YTk4ZGU0XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.4,"55,499",tt0021814,movie,21 Dec 1999,N/A,N/A,N/A,True,,
1092,Finger Prints,1931,Passed,23 Mar 1931,210 min,"Action, Adventure",Ray Taylor,"Arthur B. Reeve, Basil Dickey, Ella O'Neill","Kenneth Harlan, Edna Murphy, Gayne Whitman",The Secret Service sets out to break up a smuggling ring.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjkyZTBjMzUtOTMxYi00MjVkLTliMzYtN2NiYjRkMDNlMmY1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,36,tt0021866,movie,N/A,N/A,N/A,N/A,True,,
1093,Heroes of the Flames,1931,Passed,02 Jun 1931,220 min,"Action, Drama",Robert F. Hill,"Henry MacRae, George H. Plympton, Basil Dickey","Tim McCoy, Marion Shockley, Bobby Nelson","Fireman Bob Darrow (Tim McCoy)invents an original chemical fire extinguisher, and his rival, Dan Mitchell (Gayne Whitman), for June Madison(Marion Shockley), also has his eyes on Bob's invention.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTYyY2MzODktNDk2Yi00ZWY3LWE5MjItNjdmZWM2M2IzMmUyXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0021955,movie,N/A,N/A,N/A,N/A,True,,
1094,Bad Sister,2015,TV-14,03 Jan 2016,87 min,"Crime, Drama, Thriller",Doug Campbell,Barbara Kymlicka,"Alyshia Ochse, Devon Werkheiser, Ryan Whitney","A student at a Catholic school has suspicions when one of the nuns begins acting creepily towards her brother. But she can't tell anyone, because who would believe that a woman of God would do such a thing?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTdlODVkNzYtNzRhYi00ODVhLThmZTQtNzk3OTEwNzg3ZTQxXkEyXkFqcGdeQXVyMjg1ODA0ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"1,635",tt5304688,movie,N/A,N/A,N/A,N/A,True,,
1095,The Virtuous Husband,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1096,Iron Man,2008,PG-13,02 May 2008,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",Nominated for 2 Oscars. 22 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.9,"1,086,848",tt0371746,movie,30 Sep 2008,"$319,034,126",N/A,N/A,True,,
1097,The She-Wolf,1951,N/A,26 Mar 1951,81 min,"Drama, Romance",Maria Plyta,"Solonas Makris, Maria Plyta","Aleka Katselli, Andreas Zisimatos, Anthi Miliadi","Wanting to have nothing to do with the feud that has decimated not only his family but also his neighbours', too, an irenic teacher faces his childhood sweetheart who yearns to kill him. Can the feared she-wolf see the error of he...",Greek,Greece,N/A,https://m.media-amazon.com/images/M/MV5BNjA1MTk3ZWUtZDYzNS00ZGU2LWJkODUtMzE5NDMzODcyNjVkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,29,tt0137086,movie,N/A,N/A,N/A,N/A,True,,
1098,Seed,2006,Not Rated,03 Nov 2006,90 min,Horror,Uwe Boll,Uwe Boll,"Michael Paré, Will Sanderson, Ralf Moeller","After a seemingly undead man is bound and buried alive, he digs himself back to the surface and seeks bloody vengeance on those who caused him his suffering.",English,Canada,2 wins,https://m.media-amazon.com/images/M/MV5BZmM5YmYxNjQtNTg0NC00N2M3LWI5NTItNjhmZjg2MzAxOTMzXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",N/A,3.1,"7,129",tt0758781,movie,01 Jan 2012,N/A,N/A,N/A,True,,
1099,Up for Murder,1931,Passed,27 May 1931,68 min,Drama,"Monta Bell, Edward L. Cahn",Monta Bell,"Lew Ayres, Genevieve Tobin, Purnell Pratt","Young reporter accidentially kills his newspaper's editor in a fight over the publisher's mistress, who is also the paper's society editor.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODllYzEyODYtOTI3Ni00Njg0LWE2NTQtZjg1ODMyYmIyYjZiXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,75,tt0021868,movie,N/A,N/A,N/A,N/A,True,,
1100,Ex-Bad Boy,1931,Passed,15 Jul 1931,76 min,"Comedy, Romance",Vin Moore,"Anita Loos, John Emerson, Frank Niblo Jr.","Robert Armstrong, Jean Arthur, Jason Robards Sr.",A man gets in trouble with his girlfriend when a beautiful movie star and her fiance come to his small town.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmM3ZDFkZWYtMGFjYi00ZWQzLTkxZWQtNzM1ZTQyM2I1MjI1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,43,tt0021841,movie,N/A,N/A,N/A,N/A,True,,
1101,Many a Slip,1927,N/A,24 Jan 1927,20 min,"Comedy, Short","Charles R. Bowers, Harold L. Muller","Charles R. Bowers, Harold L. Muller, Ted Sears","Charles R. Bowers, Corinne Powers, Ricca Allen",Charley attempts to invent a non-slippery banana peel.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOGMzYzM2NDMtZDk1Zi00NzljLTlmZTgtMjcxNjM1ZDFkZWYwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,93,tt0412967,movie,N/A,N/A,N/A,N/A,True,,
1102,The Homicide Squad,1981,N/A,12 Nov 1981,98 min,Crime,Bob Meillon,Terry Stapleton,"John Gregg, Andrew Clarke, Roger Ward, Frank Gallacher",N/A,English,Australia,N/A,N/A,[],N/A,N/A,N/A,tt12154026,movie,N/A,N/A,N/A,N/A,True,,
1103,East of Borneo,1931,Passed,01 Aug 1931,77 min,"Adventure, Horror, Romance",George Melford,"Dale Van Every, Edwin H. Knopf","Rose Hobart, Charles Bickford, Georges Renavent",Woman treks through jungle to find her missing husband.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM5OTk1MTM5OF5BMl5BanBnXkFtZTcwMDkwOTYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,236,tt0021828,movie,26 Oct 2004,N/A,N/A,N/A,True,,
1104,Danger Island,1967–,N/A,06 Jul 1967,25 min,"Adventure, Comedy, Family",N/A,N/A,"Mervyn Joseph, Robert Gillespie, Garard Green",N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZWZhNDEyNzgtZjJhMC00ZDNmLTlkYWQtZjkzMzAxODFjODAyXkEyXkFqcGdeQXVyMTI2MTg2MjQy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,26,tt1432379,series,,,,,True,,1
1105,Waterloo Bridge,1940,Passed,17 May 1940,108 min,"Drama, Romance, War",Mervyn LeRoy,"S.N. Behrman, Hans Rameau, George Froeschel","Vivien Leigh, Robert Taylor, Lucile Watson",Myra and Roy meet and fall in love on Waterloo Bridge during an air raid. Their love will be one of the war's unspoken casualties.,"English, French",United States,Nominated for 2 Oscars. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzQ0YjZhMDMtZjhkMS00Njc4LTk0MTktZjA0ZDM5MmQ5ZTY0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.7,"10,524",tt0033238,movie,27 Jan 2009,N/A,N/A,N/A,True,,
1106,Graft,1931,N/A,21 Sep 1931,54 min,"Crime, Thriller",Christy Cabanne,Barry Barringer,"Regis Toomey, Sue Carol, Dorothy Revier",Cub reporter Dusty investigates the murder of the District Attorney and stumbles into a plot involving a kidnapping and a crooked election.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM4NzE3MjE0NV5BMl5BanBnXkFtZTYwMzk5MTg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,99,tt0021926,movie,N/A,N/A,N/A,N/A,True,,
1107,The Spirit of Notre Dame,1931,N/A,13 Oct 1931,80 min,"Drama, Sport",Russell Mack,"Walter DeLeon, Robert Keith, Richard Schayer","Lew Ayres, Sally Blane, William Bakewell","Story of two friends who play football, one of whom is a self-centered quarterback who thinks he's the only man on the team.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE3ODQ5NDk0M15BMl5BanBnXkFtZTgwOTU3Njk5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,98,tt0022422,movie,15 Aug 2017,N/A,N/A,N/A,True,,
1108,Reckless Living,1938,Approved,01 Mar 1938,65 min,"Comedy, Drama, Music",Frank McDonald,"Charles Grayson, Gerald Beaumont","Robert Wilcox, Nan Grey, Jimmy Savo","Young Danny Farrell lives in a boardinghouse that with several residents who ""play the horses, among them ""Colonel"" Harris and ""General"" Jeff and pretty Laurie Andrews. General Jeff is a blind newsstand owner who sells racing tips...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNThlZDcxMWItZWQ1NS00YjkyLWE4NTMtNDEzMGFjZGUyMjYxXkEyXkFqcGdeQXVyMzc5ODc1MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,15,tt0030660,movie,N/A,N/A,N/A,N/A,True,,
1109,The Spell of the Circus,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1110,Frankenstein,1931,Passed,21 Nov 1931,70 min,"Drama, Horror, Sci-Fi",James Whale,"John L. Balderston, Mary Shelley, Peggy Webling","Colin Clive, Mae Clarke, Boris Karloff",Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,"English, Latin",United States,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.8,"75,869",tt0021884,movie,17 Aug 1999,N/A,N/A,N/A,True,,
1111,Battling with Buffalo Bill,1931,Passed,23 Nov 1931,217 min,"Romance, Western",Ray Taylor,"Buffalo Bill Cody, Ella O'Neill, Henry MacRae","Tom Tyler, Lucile Browne, William Desmond",A western adventure serial in 12 episodes. Buffalo Bill battles gambler Jim Rodney who is trying to scare off the townspeople so he can gain possession of a gold strike discovered in the area. A nearby Indian tribe is provoked to ...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjI2ODM1NDQ4NF5BMl5BanBnXkFtZTcwNjQ4MjE5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,68,tt0021643,movie,04 Mar 2008,N/A,N/A,N/A,True,,
